ts,strategy_id,profile_id,mode,action,ticker,direction,qty,price,usd,order_id,status,reason,signal_ready_time,shadow_exit_time,sim_mode
2026-05-26T10:10:26-04:00,,,PAPER,BUY,MRNA,LONG,104,47.7600,4967.04,PAPER,success,entry,2026-05-26T10:10:00-04:00,2026-05-26T10:20:00-04:00,True
2026-05-26T10:20:31-04:00,,,PAPER,SELL,MRNA,LONG,104,48.1201,5004.49,PAPER,success,shadow_exit,2026-05-26T10:10:00-04:00,2026-05-26T10:20:00-04:00,True
2026-05-26T10:41:23-04:00,,,PAPER,BUY,P,LONG,55,89.7300,4935.15,PAPER,success,entry,2026-05-26T10:40:00-04:00,2026-05-26T10:50:00-04:00,True
2026-05-26T10:54:39-04:00,,,PAPER,SELL,P,LONG,55,89.7500,4936.25,PAPER,success,shadow_exit,2026-05-26T10:40:00-04:00,2026-05-26T10:50:00-04:00,True
2026-05-27T10:23:59-04:00,,,PAPER,SELLSHORT,ASTS,SHORT,41,121.4200,4978.22,PAPER,success,entry,2026-05-27T10:20:00-04:00,2026-05-27T10:30:00-04:00,True
2026-05-27T10:24:17-04:00,,,PAPER,BUY,INTU,LONG,16,311.5500,4984.80,PAPER,success,entry,2026-05-27T10:20:00-04:00,2026-05-27T10:30:00-04:00,True
2026-05-27T10:40:13-04:00,,,PAPER,BUYTOCOVER,ASTS,SHORT,41,120.1050,4924.31,PAPER,success,shadow_exit,2026-05-27T10:20:00-04:00,2026-05-27T10:30:00-04:00,True
2026-05-27T10:40:13-04:00,,,PAPER,SELL,INTU,LONG,16,313.5450,5016.72,PAPER,success,shadow_exit,2026-05-27T10:20:00-04:00,2026-05-27T10:30:00-04:00,True
2026-05-27T10:59:05-04:00,,,PAPER,BUY,RKLB,LONG,35,141.7250,4960.38,PAPER,success,entry,2026-05-27T10:50:00-04:00,2026-05-27T11:00:00-04:00,True
2026-05-27T10:59:10-04:00,,,PAPER,BUY,SITM,LONG,6,718.3200,4309.92,PAPER,success,entry,2026-05-27T10:50:00-04:00,2026-05-27T11:00:00-04:00,True
