paper_date,paper_entry_session_date,signal_source_date,entry_date,timestamp,strategy_id,source_strategy_id,source_strategy,order_key,idempotency_key,symbol,action,direction,entry_price,paper_fill_price,price,paper_fill_price_source,paper_position_qty,qty,shares,paper_position_status,status,execution_status,mode,paper_only,route_to_tradestation,live_trading_enabled,entry_window_status,entry_time_et,research_allocation_rank,research_allocation_usd,research_rank_score,sector,paper_sizing_rule,paper_notional_per_slot,generated_at,exit_reason,days_held,exit_bar_date,source_buy_idempotency_key
2026-06-22,2026-06-22,2026-06-22,2026-06-22,2026-06-22T15:45:28,high_5_strategy,automated_swing_trading,Automated Swing Trading,HIGH5-PAPER-2026-06-22-SNDK,HIGH5-PAPER-2026-06-22-SNDK,SNDK,BUY,LONG,2328.095,2328.095,2328.095,high_5_entry_price,85.0,85.0,85.0,FILLED,FILLED,FILLED,PAPER,True,False,False,ENTRY_WINDOW_OPEN_1545_1559_ET,15:45,1,100000.0,0.875,Technology,floor((RESEARCH_ALLOCATION_USD * LEVERAGE) / entry_price),200000.0,2026-06-22T15:45:28,,,,
2026-06-22,2026-06-22,2026-06-22,2026-06-22,2026-06-22T15:45:28,high_5_strategy,automated_swing_trading,Automated Swing Trading,HIGH5-PAPER-2026-06-22-MBX,HIGH5-PAPER-2026-06-22-MBX,MBX,BUY,LONG,44.8,44.8,44.8,high_5_entry_price,4464.0,4464.0,4464.0,FILLED,FILLED,FILLED,PAPER,True,False,False,ENTRY_WINDOW_OPEN_1545_1559_ET,15:45,2,100000.0,0.8125,Healthcare,floor((RESEARCH_ALLOCATION_USD * LEVERAGE) / entry_price),200000.0,2026-06-22T15:45:28,,,,
2026-06-22,2026-06-22,2026-06-22,2026-06-22,2026-06-22T15:45:28,high_5_strategy,automated_swing_trading,Automated Swing Trading,HIGH5-PAPER-2026-06-22-AIP,HIGH5-PAPER-2026-06-22-AIP,AIP,BUY,LONG,44.15,44.15,44.15,high_5_entry_price,4530.0,4530.0,4530.0,FILLED,FILLED,FILLED,PAPER,True,False,False,ENTRY_WINDOW_OPEN_1545_1559_ET,15:45,3,100000.0,0.75,Technology,floor((RESEARCH_ALLOCATION_USD * LEVERAGE) / entry_price),200000.0,2026-06-22T15:45:28,,,,
2026-06-22,2026-06-22,2026-06-22,2026-06-22,2026-06-22T15:45:28,high_5_strategy,automated_swing_trading,Automated Swing Trading,HIGH5-PAPER-2026-06-22-CXW,HIGH5-PAPER-2026-06-22-CXW,CXW,BUY,LONG,29.805,29.805,29.805,high_5_entry_price,6710.0,6710.0,6710.0,FILLED,FILLED,FILLED,PAPER,True,False,False,ENTRY_WINDOW_OPEN_1545_1559_ET,15:45,4,100000.0,0.625,Industrials,floor((RESEARCH_ALLOCATION_USD * LEVERAGE) / entry_price),200000.0,2026-06-22T15:45:28,,,,
2026-06-22,2026-06-22,2026-06-22,2026-06-22,2026-06-22T15:45:28,high_5_strategy,automated_swing_trading,Automated Swing Trading,HIGH5-PAPER-2026-06-22-AGIO,HIGH5-PAPER-2026-06-22-AGIO,AGIO,BUY,LONG,35.08,35.08,35.08,high_5_entry_price,5701.0,5701.0,5701.0,FILLED,FILLED,FILLED,PAPER,True,False,False,ENTRY_WINDOW_OPEN_1545_1559_ET,15:45,5,100000.0,0.4375,Healthcare,floor((RESEARCH_ALLOCATION_USD * LEVERAGE) / entry_price),200000.0,2026-06-22T15:45:28,,,,
2026-06-23,2026-06-23,2026-06-23,2026-06-23,2026-06-23T15:49:09,high_5_strategy,automated_swing_trading,Automated Swing Trading,HIGH5-PAPER-2026-06-23-MBX,HIGH5-PAPER-2026-06-23-MBX,MBX,BUY,LONG,46.27,46.27,46.27,high_5_entry_price,4322.0,4322.0,4322.0,FILLED,FILLED,FILLED,PAPER,True,False,False,ENTRY_WINDOW_OPEN_1545_1559_ET,15:45,1,100000.0,1.0,Healthcare,floor((RESEARCH_ALLOCATION_USD * LEVERAGE) / entry_price),200000.0,2026-06-23T15:49:09,,,,
2026-06-23,2026-06-23,2026-06-23,2026-06-23,2026-06-23T15:49:09,high_5_strategy,automated_swing_trading,Automated Swing Trading,HIGH5-PAPER-2026-06-23-TRVI,HIGH5-PAPER-2026-06-23-TRVI,TRVI,BUY,LONG,17.68,17.68,17.68,high_5_entry_price,11312.0,11312.0,11312.0,FILLED,FILLED,FILLED,PAPER,True,False,False,ENTRY_WINDOW_OPEN_1545_1559_ET,15:45,2,100000.0,0.75,Healthcare,floor((RESEARCH_ALLOCATION_USD * LEVERAGE) / entry_price),200000.0,2026-06-23T15:49:09,,,,
2026-06-23,2026-06-23,2026-06-23,2026-06-23,2026-06-23T15:49:09,high_5_strategy,automated_swing_trading,Automated Swing Trading,HIGH5-PAPER-2026-06-23-ALGT,HIGH5-PAPER-2026-06-23-ALGT,ALGT,BUY,LONG,103.885,103.885,103.885,high_5_entry_price,1925.0,1925.0,1925.0,FILLED,FILLED,FILLED,PAPER,True,False,False,ENTRY_WINDOW_OPEN_1545_1559_ET,15:45,3,100000.0,0.75,Industrials,floor((RESEARCH_ALLOCATION_USD * LEVERAGE) / entry_price),200000.0,2026-06-23T15:49:09,,,,
2026-06-23,2026-06-23,2026-06-23,2026-06-23,2026-06-23T15:49:09,high_5_strategy,automated_swing_trading,Automated Swing Trading,HIGH5-PAPER-2026-06-23-AMLX,HIGH5-PAPER-2026-06-23-AMLX,AMLX,BUY,LONG,16.51,16.51,16.51,high_5_entry_price,12113.0,12113.0,12113.0,FILLED,FILLED,FILLED,PAPER,True,False,False,ENTRY_WINDOW_OPEN_1545_1559_ET,15:45,4,100000.0,0.5625,Healthcare,floor((RESEARCH_ALLOCATION_USD * LEVERAGE) / entry_price),200000.0,2026-06-23T15:49:09,,,,
2026-06-23,2026-06-23,2026-06-23,2026-06-23,2026-06-23T15:49:09,high_5_strategy,automated_swing_trading,Automated Swing Trading,HIGH5-PAPER-2026-06-23-CXW,HIGH5-PAPER-2026-06-23-CXW,CXW,BUY,LONG,30.4,30.4,30.4,high_5_entry_price,6578.0,6578.0,6578.0,FILLED,FILLED,FILLED,PAPER,True,False,False,ENTRY_WINDOW_OPEN_1545_1559_ET,15:45,5,100000.0,0.5,Industrials,floor((RESEARCH_ALLOCATION_USD * LEVERAGE) / entry_price),200000.0,2026-06-23T15:49:09,,,,
