strategy_id,ts,mode,action,ticker,symbol,qty,price,usd,reference_price,slippage,order_id,status,reason,entry_date,rotation_id,venue,source,contract_entry_ts,contract_entry_timestamp_policy,primed_from_rebuild_date,primed_at,entry_price_basis,price_as_of_date,price_data_stale
trisight_500_late_failed_recovery_shadow,2026-07-13T15:50:00-04:00,PAPER,BUY,HELE,HELE,19.0465306744,28.38,540.540540541,28.38,0,PAPER,success,rebalance_entry,2026-07-13,ts500-lfr-2026-07-13,trisight_sim,ts500_rebalance_entry,2026-07-13T15:50:00-04:00,locked_session_preclose_1545_1555_america_new_york,,,,,
trisight_500_late_failed_recovery_shadow,2026-07-13T15:50:00-04:00,PAPER,BUY,META,META,0.821072160132,658.335,540.540540541,658.335,0,PAPER,success,rebalance_entry,2026-07-13,ts500-lfr-2026-07-13,trisight_sim,ts500_rebalance_entry,2026-07-13T15:50:00-04:00,locked_session_preclose_1545_1555_america_new_york,,,,,
trisight_500_late_failed_recovery_shadow,2026-07-13T15:50:00-04:00,PAPER,BUY,KC,KC,51.4066134608,10.515,540.540540541,10.515,0,PAPER,success,rebalance_entry,2026-07-13,ts500-lfr-2026-07-13,trisight_sim,ts500_rebalance_entry,2026-07-13T15:50:00-04:00,locked_session_preclose_1545_1555_america_new_york,,,,,
trisight_500_late_failed_recovery_shadow,2026-07-13T15:50:00-04:00,PAPER,BUY,VSCO,VSCO,9.9547060873,54.3,540.540540541,54.3,0,PAPER,success,rebalance_entry,2026-07-13,ts500-lfr-2026-07-13,trisight_sim,ts500_rebalance_entry,2026-07-13T15:50:00-04:00,locked_session_preclose_1545_1555_america_new_york,,,,,
trisight_500_late_failed_recovery_shadow,2026-07-13T15:50:00-04:00,PAPER,BUY,SE,SE,4.7064914283,114.85,540.540540541,114.85,0,PAPER,success,rebalance_entry,2026-07-13,ts500-lfr-2026-07-13,trisight_sim,ts500_rebalance_entry,2026-07-13T15:50:00-04:00,locked_session_preclose_1545_1555_america_new_york,,,,,
trisight_500_late_failed_recovery_shadow,2026-07-13T15:50:00-04:00,PAPER,BUY,RYAAY,RYAAY,8.50307598774,63.57,540.540540541,63.57,0,PAPER,success,rebalance_entry,2026-07-13,ts500-lfr-2026-07-13,trisight_sim,ts500_rebalance_entry,2026-07-13T15:50:00-04:00,locked_session_preclose_1545_1555_america_new_york,,,,,
trisight_500_late_failed_recovery_shadow,2026-07-13T15:50:00-04:00,PAPER,BUY,SMPL,SMPL,40.4899281304,13.35,540.540540541,13.35,0,PAPER,success,rebalance_entry,2026-07-13,ts500-lfr-2026-07-13,trisight_sim,ts500_rebalance_entry,2026-07-13T15:50:00-04:00,locked_session_preclose_1545_1555_america_new_york,,,,,
trisight_500_late_failed_recovery_shadow,2026-07-13T15:50:00-04:00,PAPER,BUY,CSGS,CSGS,6.6989780709,80.69,540.540540541,80.69,0,PAPER,success,rebalance_entry,2026-07-13,ts500-lfr-2026-07-13,trisight_sim,ts500_rebalance_entry,2026-07-13T15:50:00-04:00,locked_session_preclose_1545_1555_america_new_york,,,,,
trisight_500_late_failed_recovery_shadow,2026-07-13T15:50:00-04:00,PAPER,BUY,GMAB,GMAB,18.7297484595,28.86,540.540540541,28.86,0,PAPER,success,rebalance_entry,2026-07-13,ts500-lfr-2026-07-13,trisight_sim,ts500_rebalance_entry,2026-07-13T15:50:00-04:00,locked_session_preclose_1545_1555_america_new_york,,,,,
trisight_500_late_failed_recovery_shadow,2026-07-13T15:50:00-04:00,PAPER,BUY,BBIO,BBIO,6.52905593116,82.79,540.540540541,82.79,0,PAPER,success,rebalance_entry,2026-07-13,ts500-lfr-2026-07-13,trisight_sim,ts500_rebalance_entry,2026-07-13T15:50:00-04:00,locked_session_preclose_1545_1555_america_new_york,,,,,
trisight_500_late_failed_recovery_shadow,2026-07-13T15:50:00-04:00,PAPER,BUY,BRZE,BRZE,20.8662629045,25.905,540.540540541,25.905,0,PAPER,success,rebalance_entry,2026-07-13,ts500-lfr-2026-07-13,trisight_sim,ts500_rebalance_entry,2026-07-13T15:50:00-04:00,locked_session_preclose_1545_1555_america_new_york,,,,,
trisight_500_late_failed_recovery_shadow,2026-07-13T15:50:00-04:00,PAPER,BUY,SILA,SILA,17.8043656305,30.36,540.540540541,30.36,0,PAPER,success,rebalance_entry,2026-07-13,ts500-lfr-2026-07-13,trisight_sim,ts500_rebalance_entry,2026-07-13T15:50:00-04:00,locked_session_preclose_1545_1555_america_new_york,,,,,
trisight_500_late_failed_recovery_shadow,2026-07-13T15:50:00-04:00,PAPER,BUY,SCVL,SCVL,31.0120792049,17.43,540.540540541,17.43,0,PAPER,success,rebalance_entry,2026-07-13,ts500-lfr-2026-07-13,trisight_sim,ts500_rebalance_entry,2026-07-13T15:50:00-04:00,locked_session_preclose_1545_1555_america_new_york,,,,,
trisight_500_late_failed_recovery_shadow,2026-07-13T15:50:00-04:00,PAPER,BUY,CINF,CINF,2.96975820971,182.015,540.540540541,182.015,0,PAPER,success,rebalance_entry,2026-07-13,ts500-lfr-2026-07-13,trisight_sim,ts500_rebalance_entry,2026-07-13T15:50:00-04:00,locked_session_preclose_1545_1555_america_new_york,,,,,
trisight_500_late_failed_recovery_shadow,2026-07-13T15:50:00-04:00,PAPER,BUY,NU,NU,39.4123616872,13.715,540.540540541,13.715,0,PAPER,success,rebalance_entry,2026-07-13,ts500-lfr-2026-07-13,trisight_sim,ts500_rebalance_entry,2026-07-13T15:50:00-04:00,locked_session_preclose_1545_1555_america_new_york,,,,,
trisight_500_late_failed_recovery_shadow,2026-07-13T15:50:00-04:00,PAPER,BUY,LC,LC,28.1384976856,19.21,540.540540541,19.21,0,PAPER,success,rebalance_entry,2026-07-13,ts500-lfr-2026-07-13,trisight_sim,ts500_rebalance_entry,2026-07-13T15:50:00-04:00,locked_session_preclose_1545_1555_america_new_york,,,,,
trisight_500_late_failed_recovery_shadow,2026-07-13T15:50:00-04:00,PAPER,BUY,FIG,FIG,24.2633142207,22.2781,540.540540541,22.2781,0,PAPER,success,rebalance_entry,2026-07-13,ts500-lfr-2026-07-13,trisight_sim,ts500_rebalance_entry,2026-07-13T15:50:00-04:00,locked_session_preclose_1545_1555_america_new_york,,,,,
trisight_500_late_failed_recovery_shadow,2026-07-13T15:50:00-04:00,PAPER,BUY,PARR,PARR,7.70483694254,70.156,540.540540541,70.156,0,PAPER,success,rebalance_entry,2026-07-13,ts500-lfr-2026-07-13,trisight_sim,ts500_rebalance_entry,2026-07-13T15:50:00-04:00,locked_session_preclose_1545_1555_america_new_york,,,,,
trisight_500_late_failed_recovery_shadow,2026-07-13T15:50:00-04:00,PAPER,BUY,GSHD,GSHD,9.92910618186,54.44,540.540540541,54.44,0,PAPER,success,rebalance_entry,2026-07-13,ts500-lfr-2026-07-13,trisight_sim,ts500_rebalance_entry,2026-07-13T15:50:00-04:00,locked_session_preclose_1545_1555_america_new_york,,,,,
trisight_500_late_failed_recovery_shadow,2026-07-13T15:50:00-04:00,PAPER,BUY,REZI,REZI,15.9310504138,33.93,540.540540541,33.93,0,PAPER,success,rebalance_entry,2026-07-13,ts500-lfr-2026-07-13,trisight_sim,ts500_rebalance_entry,2026-07-13T15:50:00-04:00,locked_session_preclose_1545_1555_america_new_york,,,,,
trisight_500_late_failed_recovery_shadow,2026-07-13T15:50:00-04:00,PAPER,BUY,SEM,SEM,32.7401902205,16.51,540.540540541,16.51,0,PAPER,success,rebalance_entry,2026-07-13,ts500-lfr-2026-07-13,trisight_sim,ts500_rebalance_entry,2026-07-13T15:50:00-04:00,locked_session_preclose_1545_1555_america_new_york,,,,,
trisight_500_late_failed_recovery_shadow,2026-07-13T15:50:00-04:00,PAPER,BUY,ASGN,ASGN,27.6774470323,19.53,540.540540541,19.53,0,PAPER,success,rebalance_entry,2026-07-13,ts500-lfr-2026-07-13,trisight_sim,ts500_rebalance_entry,2026-07-13T15:50:00-04:00,locked_session_preclose_1545_1555_america_new_york,,,,,
trisight_500_late_failed_recovery_shadow,2026-07-13T15:50:00-04:00,PAPER,BUY,FFIC,FFIC,34.9412114118,15.47,540.540540541,15.47,0,PAPER,success,rebalance_entry,2026-07-13,ts500-lfr-2026-07-13,trisight_sim,ts500_rebalance_entry,2026-07-13T15:50:00-04:00,locked_session_preclose_1545_1555_america_new_york,,,,,
trisight_500_late_failed_recovery_shadow,2026-07-13T15:50:00-04:00,PAPER,BUY,EAT,EAT,2.87751152803,187.85,540.540540541,187.85,0,PAPER,success,rebalance_entry,2026-07-13,ts500-lfr-2026-07-13,trisight_sim,ts500_rebalance_entry,2026-07-13T15:50:00-04:00,locked_session_preclose_1545_1555_america_new_york,,,,,
trisight_500_late_failed_recovery_shadow,2026-07-13T15:50:00-04:00,PAPER,BUY,CLMT,CLMT,13.330222948,40.55,540.540540541,40.55,0,PAPER,success,rebalance_entry,2026-07-13,ts500-lfr-2026-07-13,trisight_sim,ts500_rebalance_entry,2026-07-13T15:50:00-04:00,locked_session_preclose_1545_1555_america_new_york,,,,,
trisight_500_late_failed_recovery_shadow,2026-07-13T15:50:00-04:00,PAPER,BUY,VOD,VOD,35.2603092329,15.33,540.540540541,15.33,0,PAPER,success,rebalance_entry,2026-07-13,ts500-lfr-2026-07-13,trisight_sim,ts500_rebalance_entry,2026-07-13T15:50:00-04:00,locked_session_preclose_1545_1555_america_new_york,,,,,
trisight_500_late_failed_recovery_shadow,2026-07-13T15:50:00-04:00,PAPER,BUY,DINO,DINO,6.67993747579,80.92,540.540540541,80.92,0,PAPER,success,rebalance_entry,2026-07-13,ts500-lfr-2026-07-13,trisight_sim,ts500_rebalance_entry,2026-07-13T15:50:00-04:00,locked_session_preclose_1545_1555_america_new_york,,,,,
trisight_500_late_failed_recovery_shadow,2026-07-13T15:50:00-04:00,PAPER,BUY,NIQ,NIQ,46.6385280881,11.59,540.540540541,11.59,0,PAPER,success,rebalance_entry,2026-07-13,ts500-lfr-2026-07-13,trisight_sim,ts500_rebalance_entry,2026-07-13T15:50:00-04:00,locked_session_preclose_1545_1555_america_new_york,,,,,
trisight_500_late_failed_recovery_shadow,2026-07-13T15:50:00-04:00,PAPER,BUY,MTN,MTN,3.56275072858,151.72,540.540540541,151.72,0,PAPER,success,rebalance_entry,2026-07-13,ts500-lfr-2026-07-13,trisight_sim,ts500_rebalance_entry,2026-07-13T15:50:00-04:00,locked_session_preclose_1545_1555_america_new_york,,,,,
trisight_500_late_failed_recovery_shadow,2026-07-13T15:50:00-04:00,PAPER,BUY,SLNO,SLNO,10.1969541698,53.01,540.540540541,53.01,0,PAPER,success,rebalance_entry,2026-07-13,ts500-lfr-2026-07-13,trisight_sim,ts500_rebalance_entry,2026-07-13T15:50:00-04:00,locked_session_preclose_1545_1555_america_new_york,,,,,
trisight_500_late_failed_recovery_shadow,2026-07-13T15:50:00-04:00,PAPER,BUY,PBF,PBF,9.50987845757,56.8399,540.540540541,56.8399,0,PAPER,success,rebalance_entry,2026-07-13,ts500-lfr-2026-07-13,trisight_sim,ts500_rebalance_entry,2026-07-13T15:50:00-04:00,locked_session_preclose_1545_1555_america_new_york,,,,,
trisight_500_late_failed_recovery_shadow,2026-07-13T15:50:00-04:00,PAPER,BUY,MAN,MAN,13.503385974,40.03,540.540540541,40.03,0,PAPER,success,rebalance_entry,2026-07-13,ts500-lfr-2026-07-13,trisight_sim,ts500_rebalance_entry,2026-07-13T15:50:00-04:00,locked_session_preclose_1545_1555_america_new_york,,,,,
